episode,episode_mean_enob,episode_last_enob,episode_steps,episode_total_reward,epsilon_hist
1,9.962347556667403,10.14952860989343,80,-7.300000000000076,0.5
2,7.876209133373477,8.09523693503176,80,-13.8,0.4975
3,8.685132815725934,9.088566621671193,80,4.699999999999794,0.4950125
4,10.5131115999614,10.626217385984146,80,-7.600000000000061,0.4925374375
5,11.395297100473202,11.403025599386964,80,-12.099999999999996,0.49007475031250003
6,9.437262839752346,9.783024962490174,80,0.09999999999985731,0.48762437656093754
7,10.546072248715955,10.658392325583625,80,-8.40000000000006,0.48518625467813287
8,10.750338766503429,10.82841665064569,80,-11.300000000000018,0.4827603234047422
9,9.678193255917174,9.93654179858107,80,-3.1000000000001164,0.4803465217877185
10,10.704054070606393,10.75120825964571,80,-12.400000000000004,0.47794478917877986
