episode,episode_mean_enob,episode_last_enob,episode_steps,episode_total_reward,epsilon_hist
1,10.275457013314268,10.623220933021233,250,-24.800000000000104,0.5
2,11.280719366121483,11.332790096774314,250,-40.20000000000006,0.4975
3,8.90027260182547,9.91352090326159,250,-8.300000000000406,0.4950125
4,9.662372780406525,10.197616125189537,250,-14.40000000000026,0.4925374375
5,8.269885456167973,9.32038413403045,250,-21.000000000000192,0.49007475031250003
6,9.156017586351286,9.856091816797365,250,-6.800000000000411,0.48762437656093754
7,9.200062840612029,9.937304407755134,250,-8.000000000000394,0.48518625467813287
8,7.522606794139776,8.519809579130854,250,-39.00000000000022,0.4827603234047422
9,9.035001443360857,9.890504217293147,250,-4.90000000000041,0.4803465217877185
10,8.914366277799099,9.872813770111128,250,-8.500000000000417,0.47794478917877986
11,9.09334367600111,10.015633310797792,250,-4.400000000000439,0.47555506523288593
12,9.649842318935626,10.209132786124629,250,-14.500000000000275,0.4731772899067215
13,6.3552713601318915,7.250961090616424,250,-50.00000000000017,0.47081140345718786
14,9.539958237816617,10.154254766992342,250,-13.200000000000324,0.46845734643990194
15,7.120530583992259,7.868576303783933,250,-50.00000000000017,0.46611505970770245
16,5.8650465528640074,6.810135727649688,250,-50.00000000000017,0.4637844844091639
17,8.296898378651175,9.43649006114597,250,-19.00000000000022,0.4614655619871181
18,9.942399181302157,10.42978499233829,250,-14.700000000000262,0.4591582341771825
19,8.715339878995625,9.72413311223935,250,-11.400000000000322,0.4568624430062966
20,9.410445341484504,10.20168931573416,250,-5.900000000000403,0.4545781307912651
21,9.804104406949017,10.423068826112585,250,-11.100000000000326,0.4523052401373088
22,9.788523510717454,10.366210063849676,250,-10.900000000000324,0.45004371393662224
23,9.200279681435276,10.253082520293074,250,-0.10000000000049103,0.44779349536693913
24,9.586401396316203,10.283081902738797,250,-8.80000000000038,0.4455545278901044
25,9.632376772159441,10.3557922763548,250,-4.700000000000426,0.4433267552506539
26,9.91142754263431,10.411684153923812,250,-16.800000000000246,0.44111012147440065
27,10.270866535119849,10.664650312941934,250,-23.400000000000148,0.43890457086702866
28,8.31392037995561,9.614684589281522,250,-16.10000000000026,0.43671004801269353
29,9.49229804349377,10.28023418539249,250,-3.3000000000004133,0.4345264977726301
30,9.66093791729406,10.294273417777271,250,-8.10000000000035,0.4323538652837669
31,10.649150991388671,10.868681401400998,250,-33.40000000000002,0.4301920959573481
32,11.507209708081566,11.45597642482794,250,0.20000000000011664,0.42804113547756134
33,11.31138866051661,11.39611684401619,250,-37.00000000000003,0.4259009298001735
34,9.964493671077545,10.465681718753979,250,-16.60000000000024,0.42377142515117266
35,10.86992915735501,10.982933536407051,250,-38.20000000000006,0.4216525680254168
36,10.523008495868316,10.807731300497904,250,-26.20000000000009,0.4195443051852897
37,11.193868460187321,11.403749948014019,250,-33.30000000000001,0.4174465836593632
38,9.925140128247167,10.45859262377699,250,-11.10000000000031,0.4153593507410664
39,10.524719833184411,10.830549763459627,250,-21.300000000000132,0.4132825539873611
40,11.405814154003714,11.473598349797497,250,-38.800000000000054,0.4112161412174243
41,10.043963701649902,10.63867938104749,250,-9.900000000000349,0.40916006051133713
42,9.967664954514042,10.590027348994655,250,-7.500000000000352,0.40711426020878044
43,7.854713163960073,9.233375110461326,250,-25.700000000000173,0.4050786889077365
44,8.785522461970839,9.917502842381147,250,-8.400000000000384,0.40305329546319785
45,7.51501407123318,8.592217725116567,250,-38.10000000000021,0.40103802898588187
46,7.6019608129270475,8.758363712785595,250,-34.400000000000205,0.3990328388409525
47,8.902545865566255,9.999431374118648,250,-5.000000000000444,0.3970376746467477
48,8.998657534036472,10.124458226712077,250,-2.40000000000046,0.39505248627351397
49,7.0240976223836995,7.959606945228944,250,-50.00000000000017,0.3930772238421464
50,6.854765829495012,7.648216287453463,250,-50.00000000000017,0.3911118377229357
51,9.553813245198732,10.373840836270407,250,-1.900000000000447,0.389156278534321
52,10.243453888325654,10.826231796721862,250,-14.300000000000251,0.3872104971416494
53,10.70538428462774,10.941271034308661,250,-30.30000000000002,0.38527444465594113
54,10.473338417491448,10.914187354086385,250,-19.500000000000195,0.38334807243266145
55,9.356514945668069,10.240313018935362,250,-1.7000000000004667,0.3814313320704981
56,10.718058518119435,10.973509818869822,250,-30.800000000000043,0.3795241754101456
57,10.369496274567313,10.82999151002945,250,-21.400000000000166,0.37762655453309485
58,10.477887602718617,10.87802836193376,250,-20.100000000000172,0.3757384217604294
59,10.140923171944605,10.779044758352201,250,-10.400000000000341,0.3738597296516272
60,9.061854414356679,10.206328890304372,250,-1.50000000000048,0.3719904310033691
61,10.623228222470875,10.959637450453771,250,-23.300000000000136,0.37013047884835226
62,9.697239733291742,10.388800460090344,250,-5.0000000000003935,0.3682798264541105
63,7.090407526417359,7.900793768358683,250,-50.00000000000017,0.36643842732183995
64,9.976467133388832,10.581015465980721,250,-8.600000000000342,0.3646062351852308
65,8.062864123821466,9.355027029912788,250,-22.400000000000194,0.36278320400930464
66,9.107485339352168,10.006211236637144,250,-3.900000000000433,0.3609692879892581
67,8.788613216888566,10.053248710853657,250,-5.300000000000431,0.3591644415493118
68,10.23027016368205,10.782582144188696,250,-11.700000000000278,0.3573686193415653
69,10.745868625621362,11.034279680487465,250,-26.100000000000076,0.35558177624485743
70,10.611150327699232,10.984242060337062,250,-22.00000000000014,0.3538038673636331
71,6.934358775349393,7.955419792679773,250,-50.00000000000017,0.35203484802681495
72,7.082364219925985,7.807335178698814,250,-50.00000000000017,0.35027467378668087
73,7.234405162943179,7.93406950612474,250,-50.00000000000017,0.3485233004177475
74,9.456091572195913,10.397213845198284,250,2.499999999999515,0.34678068391565875
75,10.088387901291087,10.747972940034957,250,-8.20000000000036,0.34504678049608045
76,7.547618280353457,8.411926976531046,250,-40.900000000000205,0.34332154659360004
77,9.915891236968768,10.622101867013033,250,-5.100000000000394,0.34160493886063203
78,8.211748494944123,9.481025158899051,250,-18.40000000000023,0.3398969141663289
79,9.724441581149174,10.491225720703412,250,-2.2000000000004345,0.33819742959549726
80,9.868905928345526,10.64544229155741,250,-4.604649994632837e-13,0.33650644244751976
81,10.346171223783942,10.835938009487215,250,-11.40000000000028,0.3348239102352822
82,11.339074988071816,11.391913933823917,250,-34.19999999999999,0.3331497906841058
83,10.622024764595306,11.000047898136357,250,-18.400000000000187,0.33148404173068524
84,9.097887626589598,10.21973906274427,250,0.19999999999952023,0.3298266215220318
85,9.507506606238543,10.433647922745271,250,0.9999999999994951,0.3281774884144216
86,8.927841459520465,10.012519328762222,250,-4.300000000000438,0.3265366009723495
