mode,sigma_cmp_lsb,group,episode,ep_in_group,step,state_before,enob_before,action,step_value,E_PN,dout_mean,rq_mean,dout_bits,sar_code,sar_x_norm,win_before,win_after,err_before,err_after,state_after,enob_after,reward,epsilon
standard,0.25,,1,,1,344,11.444153482705081,0,0.0078125,0.0,0.5546875,0.109375,11100101 01111001 10111110 10010001 11000011 11011010 11010101 10001001 11101100 10000111 11011111 11010010 11101001 10001110 10110101 01110011 10100010 10010010 11110100 10010000 01010111 01101000 11110111 11111010 01011100 11111001 00011010 10100101 11111100 00101011 11000101 00000011,1229,0.3,0.9926442669706423,0.9926442669706423,0.002535480474120888,0.002535480474120888,344,11.444153482705081,-0.2,0.5
standard,0.25,,1,,2,344,11.444153482705081,8,3.0517578125e-05,0.0625,0.51171875,0.0234375,00010000 01101000 11111110 01100001 11101001 11011101 10001110 11101111 11001110 00101001 11001001 00101011 11010110 00110101 10100111 00100100 00111010 01000100 00010010 01000010 11011000 11111100 10101010 10010000 11010101 00001011 10110111 01101010 11000100 11110010 10010111 11110011,1228,0.3,0.9926442669706423,0.9926461743192752,0.002535480474120888,0.0025373878227537006,344,11.444039041787113,-0.2,0.5
